MobileNo,Name,Acquiring_channel,Conversion_attribution,Type,LAN,Loan_amount,Interest,Tenure,Principal_amount,Loan_type,DPD_30,DPD_90,App_score,Imputed_Income,PIncode,Loan_status,Disbursement_date,EMI_amount,Age,Gender,Employment_type
8411516823,Divya Shah,iphone_campaign_launch,Website,New,LAN20184345399,460000,0.1313,9,0,Consumer durable,,,6.3,1646000,452815,Closed,01-05-2018,53948,49,Female,Self-employed
6949829602,Reyansh Pillai,Email - preapproved offer,App,New,LAN20201912526,3461000,0.1494,18,0,Personal loan,,,8.2,1722000,800109,Closed,01-01-2020,215816,29,Male,Salaried
6949829602,Reyansh Pillai,Website billion day,Website,New,LAN20188419194,4343000,0.1318,12,0,Personal loan,,,8.2,1722000,800109,Closed,01-06-2018,388272,29,Male,Salaried
7126234699,Suresh Nair,vijay sales - cross-sell,App,New,LAN20240962456,328000,0.1571,5,0,Consumer durable,,,9,789000,452304,Closed,01-10-2024,68199,53,Male,Self-employed
9823885488,Divya Verma,website_billionday_sale,Website,New,LAN20228957872,5760000,0.1278,8,0,Loan against securities,,,9.3,574000,682327,Closed,01-11-2022,754932,36,Female,Self-employed
7992861606,Neha Sheikh,Apppush for MAU,Field,New,LAN20193298522,127000,0.141,17,0,Consumer durable,,,6.3,1008000,452191,Closed,01-10-2019,8285,47,Male,Salaried
7752732136,Ahmed Kumar,paid_search_hl_nonbrand,Call center,New,LAN20250196111,171000,0.1576,19,10096,Consumer durable,,,8.9,642000,208299,Active,01-02-2025,10228,56,Male,Salaried
7752732136,Ahmed Kumar,apppush_mau_reengagement,App,New,LAN20228257667,18592000,0.0902,46,0,Home loan,,,8.9,642000,208299,Closed,01-07-2022,479570,56,Male,Salaried
8064211999,Suresh Shah,iphone_campaign_launch,Call center,Top-up,LAN20244053111,5830000,0.0874,37,2714059,Home loan,,,6.9,1670000,641757,Active,01-11-2024,180321,58,Male,Salaried
9087997733,Ayesha D'Souza,Vijay sales X-sell Diwali,Field,New,LAN20208443201,224000,0.1315,19,0,Consumer durable,,,6.5,1100000,641874,Closed,01-12-2020,13124,52,Male,Self-employed
9020243015,Divya Shah,utm_source=facebook&utm_medium=social&utm_campaign=cd_retarget,Website,New,LAN20219205719,18248000,0.0912,45,0,Home loan,,,9.5,1791000,462363,Closed,01-03-2021,480322,50,Male,Self-employed
8987871581,Rahul Qureshi,Entrypage_journey_pl,Website,New,LAN20181535893,390000,0.1511,6,0,Consumer durable,,,7.6,1692000,208176,Closed,01-07-2018,67894,28,Male,Salaried
6447228824,Nisha Iyer,referral - branch walkin,Website,Top-up,LAN20265033364,84000,0.1315,22,77168,Consumer durable,,,9.8,1037000,110290,Active,01-06-2026,4318,50,Male,Salaried
8484242768,Sanjay Rao,Website_sticky CTA,Website,Balance Transfer,LAN20242529046,213000,0.1689,23,10754,Consumer durable,,,7.9,1332000,530669,Active,01-10-2024,10905,28,Male,Salaried
6964198589,Rohan Chatterjee,MobileApp Campaign - Q3,Field,Top-up,LAN20222365505,310000,0.133,14,0,Consumer durable,,,6.6,591000,226736,Closed,01-05-2022,24027,58,Male,Self-employed
6760959521,Zara Iyer,google ads - home loan,Website,Balance Transfer,LAN20198371884,19278000,0.0933,55,0,Home loan,,,9.2,920000,530761,Closed,01-06-2019,432118,60,Female,Self-employed
8592630333,Divya Fernandes,EntryPage_PL_Journey,Field,New,LAN20194334913,16270000,0.128,22,0,Loan against securities,,,9.7,1550000,835382,Closed,01-11-2019,833629,28,Male,Salaried
6835055306,Rahul Ansari,SMS blast - existing customer,Website,New,LAN20249324518,219000,0.1533,4,0,Consumer durable,,,8,559000,700669,Closed,01-03-2024,56510,39,Male,Salaried
6835055306,Rahul Ansari,utm_source=facebook&utm_medium=social&utm_campaign=cd_retarget,App,New,LAN20196310729,678000,0.1392,39,0,Personal loan,,,8,559000,700669,Closed,01-01-2019,21711,39,Male,Salaried
6835055306,Rahul Ansari,paid_search_hl_nonbrand,App,New,LAN20257430428,118000,0.1388,9,0,Consumer durable,,,8,559000,700669,Closed,01-07-2025,13881,39,Male,Salaried
7108647575,Manoj Iyer,Vijay sales X-sell Diwali,App,New,LAN20253804301,213000,0.1631,21,138886,Consumer durable,,,8.3,1052000,834038,Active,01-12-2025,11727,43,Female,Salaried
6338032570,Pari Chatterjee,vijay sales - cross-sell,App,New,LAN20228319736,434000,0.1548,9,0,Consumer durable,,,8.9,583000,751380,Closed,01-12-2022,51386,53,Female,Self-employed
8379176605,Vihaan Qureshi,entrypage journey - PL,Field,New,LAN20208890728,301000,0.1722,12,0,Consumer durable,,,7,1104000,751247,Closed,01-05-2020,27484,38,Male,Salaried
7884398604,Imran Pillai,App push - MAU drive,Field,New,LAN20258101509,418000,0.1511,13,0,Consumer durable,,,9.3,790000,781685,Closed,01-02-2025,35059,58,Male,Salaried
9659958746,Riya Ansari,website sticky cta,App,New,LAN20222461636,55000,0.1604,19,0,Consumer durable,,,8.6,1570000,302802,Closed,01-12-2022,3297,43,Male,Salaried
7637163520,Vivaan Kapoor,iPhone Campaign,App,New,LAN20189705662,147000,0.1488,11,0,Consumer durable,,,8.3,904000,700476,Closed,01-07-2018,14378,33,Male,Salaried
9159723356,Anjali Nair,Vijay Sales cross sell,Website,New,LAN20254376213,2047000,0.1266,46,1643333,Personal loan,,,7.8,1507000,160767,Active,01-09-2025,56398,27,Male,Self-employed
6639823255,Saanvi D'Souza,2W_Suzuki_dealer,Website,New,LAN20197633374,12267000,0.0793,40,0,Home loan,,,6.9,748000,380138,Closed,01-05-2019,349997,54,Male,Salaried
6639823255,Saanvi  D'Souza,Storefootfall,App,New,LAN20192119018,413000,0.1711,17,0,Consumer durable,,,6.9,748000,380138,Closed,01-05-2019,27529,54,Male,Salaried
9026692275,Vikram Joshi,utm_source=facebook&utm_medium=social&utm_campaign=cd_retarget,App,Balance Transfer,LAN20246659855,4954000,0.1495,47,2677482,Personal loan,,,6.7,581000,831103,Active,01-07-2024,139895,47,Male,Self-employed
9026692275,Vikram Joshi,Vijay sales X-sell Diwali,Field,Top-up,LAN20182606459,269000,0.1622,8,0,Consumer durable,,,6.7,581000,831103,Closed,01-02-2018,35702,47,Male,Self-employed
8951597386,Kabir Kapoor,google ads - home loan,Field,New,LAN20218534929,452000,0.1603,7,0,Consumer durable,,,6.3,1709000,302554,Closed,01-03-2021,68067,51,Male,Salaried
6944049812,Pari Reddy,Apppush for MAU,Field,New,LAN20221175900,3674000,0.1226,10,0,Loan against securities,,,8.5,878000,834793,Closed,01-06-2022,388360,31,Male,Self-employed
8550078545,Meera Patel,web_banner_diwali_offer,App,New,LAN20209373156,435000,0.1637,23,0,Consumer durable,,,8.9,1332000,751084,Closed,01-07-2020,22163,41,Female,Salaried
8489127198,Amit Sheikh,website banner diwali,Website,New,LAN20214480721,248000,0.1683,24,0,Consumer durable,,,5.9,1461000,835325,Closed,01-08-2021,12241,50,Female,Salaried
8077017266,Aadhya Reddy,iphone_campaign_launch,Website,Top-up,LAN20225259127,1728000,0.1427,14,0,Personal loan,,,6.1,1471000,440271,Closed,01-11-2022,134719,45,Male,Salaried
6823609488,Rohan Singh,Website - Billion Days,Field,Balance Transfer,LAN20214695562,7726000,0.091,57,0,Home loan,,,8.2,1005000,781448,Closed,01-09-2021,167448,40,Female,Salaried
6823609488,rohan singh,Mobile app campaign,Call center,New,LAN20185678603,98000,0.1336,3,0,Consumer durable,,,8.2,1005000,781448,Closed,01-08-2018,33397,40,Female,Salaried
8647114547,Neha Pinto,iphone_campaign_launch,Website,New,LAN20198826004,258000,0.1576,6,0,Consumer durable,,,8.2,790000,800571,Closed,01-06-2019,44998,45,Male,Self-employed
9843110136,Anika Shah,Iphone_campaign,Website,Top-up,LAN20212495194,4657000,0.1165,32,0,Personal loan,,,7.3,675000,400697,Closed,01-04-2021,170005,50,Male,Salaried
6910278723,Sanjay Das,sms_campaign_reengage,App,New,LAN20195885707,11223000,0.1041,26,0,Loan against securities,,,7.7,1154000,700332,Closed,01-03-2019,484024,42,Male,Salaried
6910278723,Sanjay Das,GoogleAds_HL_brand,Website,New,LAN20228712701,396000,0.1306,24,0,Consumer durable,,,7.7,1154000,700332,Closed,01-02-2022,18838,42,Male,Salaried
8661755598,Karthik Reddy,referral - branch walkin,Website,Top-up,LAN20233816384,194000,0.1425,11,0,Consumer durable,,,6.9,704000,751165,Closed,01-01-2023,18918,41,Male,Salaried
6772238818,Anjali Khan,Vijay Sales cross sell,Call center,New,LAN20206024724,91000,0.1495,22,0,Consumer durable,,,7.4,1467000,781215,Closed,01-07-2020,4755,31,Male,Self-employed
7712362675,Manoj Gomes,google ads - home loan,Website,New,LAN20263504989,9291000,0.0742,37,7691830,Home loan,,,8.6,670000,530131,Active,01-01-2026,281699,55,Male,Self-employed
8924197377,Vikram Joshi,Website Banner - Diwali,Field,Balance Transfer,LAN20222660418,4513000,0.174,48,0,Personal loan,,,8.5,1058000,302618,Closed,01-03-2022,131159,39,Male,Self-employed
7945738379,Reyansh Chatterjee,Website Banner - Diwali,App,New,LAN20198321947,231000,0.1327,19,0,Consumer durable,,,7.3,1105000,695940,Closed,01-03-2019,13547,37,Male,Salaried
9507185341,Vihaan Gupta,website_billionday_sale,Website,New,LAN20197564453,76000,0.161,19,0,Consumer durable,,,7,1342000,440523,Closed,01-05-2019,4558,30,Male,Salaried
8034076567,Deepak Rao,Website_sticky CTA,Call center,New,LAN20267754765,2461000,0.0981,22,2045698,Loan against securities,,,7.2,734000,110577,Active,01-04-2026,122680,57,Male,Salaried
6450924032,Nisha Verma,Mobile app campaign,Website,New,LAN20245500571,27000,0.1316,14,0,Consumer durable,,,6,963000,110800,Closed,01-03-2024,2091,45,Female,Self-employed
9070471258,Divya Reddy,Twowheeler_Suzuki,Website,New,LAN20208382941,2783000,0.0911,32,0,Loan against securities,,,6.6,1751000,452926,Closed,01-09-2020,98288,30,Male,Salaried
9070471258,Divya Reddy,Website-StickyCTA,Website,New,LAN20213354524,5160000,0.0929,41,0,Home loan,,,6.6,1751000,452926,Closed,01-09-2021,147364,30,Male,Salaried
8795930521,Anjali Sharma,website_billionday_sale,Website,New,LAN20221226326,3383000,0.111,34,0,Personal loan,,,6.2,1740000,440547,Closed,01-06-2022,116421,26,Female,Self-employed
9693071738,Anjali Joshi,Email - preapproved offer,Website,New,LAN20213558843,436000,0.1439,24,0,Consumer durable,,,6.5,1772000,560786,Closed,01-06-2021,21014,59,Female,Salaried
8817417014,Anika Mehta,Website-StickyCTA,App,New,LAN20219904255,71000,0.132,22,0,Consumer durable,,,9.3,1723000,682879,Closed,01-06-2021,3651,29,Female,Salaried
8511255448,Priya Nair,utm_source=facebook&utm_medium=social&utm_campaign=cd_retarget,Website,New,LAN20244135736,3307000,0.1472,47,1567704,Personal loan,,,9.6,1053000,110435,Active,01-04-2024,93002,47,Male,Self-employed
9990445915,Manoj Chatterjee,entrypage journey - PL,Field,New,LAN20243814775,34000,0.154,4,0,Consumer durable,,,8,611000,160251,Closed,01-04-2024,8774,29,Male,Self-employed
9656807013,Sai Reddy,Website_sticky CTA,Website,Top-up,LAN20242137941,1793000,0.1315,39,534686,Personal loan,,,7.8,905000,110906,Active,01-03-2024,56744,42,Male,Self-employed
9693260479,Yusuf Patel,iPhone Campaign,Website,Top-up,LAN20199701559,4130000,0.1215,21,0,Personal loan,,,6.1,1752000,160533,Closed,01-06-2019,219305,43,Male,Salaried
9693260479,Yusuf Patel,Branch Referral,Website,New,LAN20199534109,13272000,0.1108,23,0,Loan against securities,,,6.1,1752000,160533,Closed,01-09-2019,643133,43,Male,Salaried
9693260479,Yusuf Patel,mobile_app_campaign,Website,New,LAN20202636327,1138000,0.1109,22,0,Personal loan,,,6.1,1752000,160533,Closed,01-04-2020,57402,43,Male,Salaried
9583326899,Saanvi Banerjee,Iphone_campaign,Field,New,LAN20246197280,1609000,0.13,28,0,Personal loan,,,8.5,1124000,700429,Closed,01-03-2024,66928,26,Male,Salaried
9310086306,Ayesha Das,Branch Referral,App,New,LAN20250863907,5293000,0.0781,60,4624235,Home loan,,,6.3,1748000,400011,Active,01-11-2025,106842,56,Female,Salaried
8108649660,Ira Khan,Vijay sales X-sell Diwali,App,Top-up,LAN20227115111,2255000,0.1174,42,0,Personal loan,,,6.4,1080000,831804,Closed,01-05-2022,65733,42,Female,Salaried
8828360146,Ayesha Gomes,Branch Referral,Field,New,LAN20234686359,13150000,0.1249,17,0,Loan against securities,,,7.5,1346000,500805,Closed,01-07-2023,847990,32,Female,Self-employed
9919371632,Suresh Rao,Website - Billion Days,Website,New,LAN20223679403,14399000,0.0775,48,0,Home loan,,,9.5,1302000,700695,Closed,01-07-2022,349834,52,Male,Salaried
9919371632,Suresh Rao,employee referral scheme,Call center,New,LAN20228137358,1980000,0.1104,37,0,Personal loan,,,9.5,1302000,700695,Closed,01-11-2022,63381,52,Male,Salaried
9919371632,Suresh Rao,employee referral scheme,Call center,New,LAN20242892813,7700000,0.1211,15,0,Loan against securities,,,9.5,1302000,700695,Closed,01-11-2024,555747,52,Male,Salaried
9919371632,SURESH RAO,referral - branch walkin,App,Top-up,LAN20186789831,95000,0.1528,19,0,Consumer durable,2018-08,2018-09,9.5,1302000,700695,Closed,01-03-2018,5661,52,Male,Salaried
8597438183,Rahul Khan,sms_campaign_reengage,App,New,LAN20210572958,4042000,0.1661,40,0,Personal loan,,,7.6,1273000,641039,Closed,01-11-2021,132273,24,Male,Self-employed
7891398733,Sara Gomes,Storefootfall,Website,New,LAN20186550592,268000,0.1638,3,0,Consumer durable,,,9.5,1571000,600915,Closed,01-06-2018,91783,34,Male,Self-employed
6462306755,Vikram Qureshi,Website - Billion Days,App,New,LAN20218872544,2021000,0.1496,28,0,Personal loan,,,7.6,1280000,520598,Closed,01-07-2021,85952,54,Female,Salaried
9688192839,Diya Banerjee,website sticky cta,Website,Balance Transfer,LAN20207863155,12970000,0.0935,7,0,Loan against securities,,,6.9,1608000,160063,Closed,01-06-2020,1911053,53,Male,Self-employed
9876974593,Salman Sharma,store_footfall_branch,Field,Balance Transfer,LAN20256432163,329000,0.1656,16,152847,Consumer durable,,,7.7,851000,400127,Active,01-11-2025,23057,28,Male,Self-employed
7968361741,Priya Patel,SMS blast - existing customer,Website,Balance Transfer,LAN20197118892,6358000,0.0753,42,0,Home loan,,,7.4,1708000,600833,Closed,01-04-2019,172676,25,Male,Self-employed
7893631426,Amit Kapoor,website sticky cta,Field,New,LAN20269296280,22968000,0.1186,24,19506374,Loan against securities,,,7.4,615000,520256,Active,01-04-2026,1079682,31,Female,Salaried
9367502128,Suresh Iyer,Twowheeler_Suzuki,Call center,New,LAN20253272398,4604000,0.1335,32,2068632,Personal loan,,,9.8,898000,641202,Active,01-01-2025,171792,50,Male,Salaried
7008978659,Aadhya Chatterjee,Website_sticky CTA,Call center,New,LAN20235454197,16607000,0.0919,31,0,Loan against securities,,,8.7,603000,600598,Closed,01-04-2023,603854,22,Female,Self-employed
7008978659,Aadhya Chatterjee,website_billionday_sale,Field,New,LAN20224100219,23571000,0.0772,41,0,Home loan,,,8.7,603000,600598,Closed,01-07-2022,655888,22,Female,Self-employed
6937452366,Priya Menon,sms_campaign_reengage,Field,New,LAN20266408224,317000,0.1606,12,267615,Consumer durable,,,8.6,762000,835347,Active,01-06-2026,28771,55,Female,Salaried
6937452366,Priya  Menon,Mobile app campaign,Website,Top-up,LAN20204428049,159000,0.1366,9,0,Consumer durable,,,8.6,762000,835347,Closed,01-01-2020,18687,55,Female,Salaried
6937452366,Priya Menon,utm_source=google&utm_medium=cpc&utm_campaign=pl_generic,App,New,LAN20253591619,319000,0.1702,12,0,Consumer durable,,,8.6,762000,835347,Closed,01-07-2025,29097,55,Female,Salaried
8650265227,Imran Mehta,Vijay sales X-sell Diwali,Website,New,LAN20202767558,361000,0.1526,8,0,Consumer durable,,,8.5,1637000,520138,Closed,01-04-2020,47745,51,Female,Self-employed
8929246556,Zara Nair,Website billion day,App,New,LAN20247258771,11451000,0.099,25,2482122,Loan against securities,,,7.1,1266000,302014,Active,01-12-2024,508778,52,Female,Self-employed
6087789260,Priya Rao,Email - preapproved offer,App,New,LAN20203261507,9797000,0.1095,16,0,Loan against securities,,,9.4,869000,226622,Closed,01-10-2020,660883,50,Male,Self-employed
8317009730,Rahul Iyer,Website Banner - Diwali,App,Top-up,LAN20200737707,129000,0.1472,16,0,Consumer durable,,,7.2,562000,520616,Closed,01-04-2020,8929,48,Male,Self-employed
8000593578,Manoj Joshi,Vijay sales X-sell Diwali,Field,Top-up,LAN20209862733,156000,0.1617,5,0,Consumer durable,,,9.4,689000,141292,Closed,01-11-2020,32473,26,Male,Salaried
8140341019,Salman Rao,2W_Suzuki_dealer,Field,New,LAN20262122566,21857000,0.1196,27,20430968,Loan against securities,,,9.1,1573000,570432,Active,01-06-2026,927322,36,Male,Salaried
8140341019,Salman Rao,mobile_app_campaign,Field,Top-up,LAN20196967269,213000,0.131,7,0,Consumer durable,,,9.1,1573000,570432,Closed,01-07-2019,31772,36,Male,Salaried
6233654981,Rohan Pillai,apppush_mau_reengagement,Call center,Top-up,LAN20205994333,12375000,0.0907,53,0,Home loan,,,6.6,778000,835673,Closed,01-01-2020,284242,38,Female,Salaried
9102299065,Imran Reddy,SMS blast - existing customer,Website,New,LAN20193268394,13174000,0.1035,28,0,Loan against securities,,,8.7,915000,682177,Closed,01-06-2019,531614,47,Male,Self-employed
9368717497,Priya Sheikh,Iphone_campaign,Field,Top-up,LAN20267254805,10731000,0.0753,36,9106024,Home loan,,,8.5,1180000,700851,Active,01-02-2026,333949,40,Male,Self-employed
9583525240,Meera Das,mobile_app_campaign,Call center,New,LAN20189658012,471000,0.1362,9,0,Consumer durable,,,6.6,962000,560432,Closed,01-02-2018,55348,39,Male,Salaried
9427807912,Aarav Fernandes,Twowheeler_Suzuki,Website,Balance Transfer,LAN20199139475,3744000,0.1457,28,0,Personal loan,,,7.2,1216000,141106,Closed,01-04-2019,158531,39,Male,Salaried
6883993811,Kavya Qureshi,Apppush for MAU,Call center,Top-up,LAN20206759819,279000,0.1503,13,0,Consumer durable,,,8.4,1524000,560294,Closed,01-02-2020,23390,35,Male,Salaried
7069101857,Diya Pinto,website_billionday_sale,Website,New,LAN20205154563,3645000,0.1352,20,0,Personal loan,,,6.6,1479000,831234,Closed,01-09-2020,204574,38,Male,Salaried
7002473257,Vivaan Patel,Entrypage_journey_pl,App,New,LAN20257555909,172000,0.1425,17,54218,Consumer durable,,,7.7,673000,600534,Active,01-08-2025,11233,52,Male,Salaried
6297594381,Pooja Singh,paid_search_hl_nonbrand,App,Balance Transfer,LAN20186150865,116000,0.1361,22,0,Consumer durable,,,7.2,1629000,530924,Closed,01-01-2018,5988,27,Female,Self-employed
9948836061,Karthik Patel,web_banner_diwali_offer,App,New,LAN20224665008,114000,0.173,4,0,Consumer durable,,,8.4,1407000,452516,Closed,01-09-2022,29535,24,Male,Self-employed
7080693159,Ishaan Verma,website sticky cta,Field,New,LAN20182121618,596000,0.1621,19,0,Personal loan,,,6.6,997000,141063,Closed,01-11-2018,35776,47,Male,Salaried
8623709106,Manoj Sheikh,Branch Referral,Field,Top-up,LAN20238625010,21525000,0.1219,13,0,Loan against securities,,,9.1,916000,800647,Closed,01-05-2023,1775888,43,Male,Self-employed
6461156059,Sanjay Pinto,referral - branch walkin,Field,New,LAN20268807517,4738000,0.1571,20,3886352,Personal loan,,,8.9,1023000,835480,Active,01-04-2026,270805,45,Male,Salaried
6461156059,Sanjay Pinto,2W_Suzuki_dealer,App,New,LAN20213231699,63000,0.144,8,0,Consumer durable,,,8.9,1023000,835480,Closed,01-11-2021,8306,45,Male,Salaried
7230013503,Sneha Reddy,referral - branch walkin,Website,New,LAN20194271358,101000,0.1469,16,0,Consumer durable,,,8,1499000,462854,Closed,01-11-2019,6989,25,Female,Self-employed
7980795284,Vivaan Gomes,iphone_campaign_launch,App,Top-up,LAN20197133427,2809000,0.1396,25,0,Personal loan,,,7.1,789000,208732,Closed,01-11-2019,130138,39,Male,Salaried
9811246641,Nisha Sharma,Iphone_campaign,Website,New,LAN20238690900,34000,0.1633,10,0,Consumer durable,,,8.6,691000,530721,Closed,01-08-2023,3660,51,Female,Salaried
9126056049,Ananya Reddy,sms_campaign_reengage,App,Top-up,LAN20242463410,13517000,0.1175,18,0,Loan against securities,,,6.9,973000,160550,Closed,01-11-2024,822725,54,Male,Salaried
7721967512,Salman Nair,Vijay Sales cross sell,Website,New,LAN20216948064,151000,0.1648,14,0,Consumer durable,,,6.9,1192000,452946,Closed,01-02-2021,11929,25,Male,Salaried
7297121018,Karthik Sheikh,Branch Referral,App,New,LAN20192503199,202000,0.1594,19,0,Consumer durable,,,7,1719000,462293,Closed,01-06-2019,12100,29,Male,Self-employed
7297121018,Karthik  Sheikh,google ads - home loan,App,New,LAN20246980809,269000,0.1472,23,0,Consumer durable,,,7,1719000,462293,Closed,01-01-2024,13494,29,Male,Self-employed
7297121018,karthik sheikh,utm_source=google&utm_medium=cpc&utm_campaign=pl_generic,App,New,LAN20194164642,497000,0.1321,23,0,Consumer durable,2020-06,2020-07,7,1719000,462293,Closed,01-12-2019,24578,29,Male,Self-employed
7297121018,Karthik Sheikh,Twowheeler_Suzuki,App,Top-up,LAN20195740396,360000,0.1692,20,0,Consumer durable,,,7,1719000,462293,Closed,01-05-2019,20783,29,Male,Self-employed
6658048240,Meera Verma,Website billion day,Website,New,LAN20231609042,241000,0.1481,13,0,Consumer durable,,,7.8,1166000,641628,Closed,01-12-2023,20179,31,Male,Self-employed
9248180334,Pari Verma,Twowheeler_Suzuki,Field,New,LAN20266959898,345000,0.1679,18,293321,Consumer durable,,,7.9,1010000,530114,Active,01-05-2026,21815,26,Female,Salaried
7635690852,Pooja Kapoor,mobile_app_campaign,Field,Top-up,LAN20241030035,68000,0.1696,15,0,Consumer durable,,,8.4,1056000,452948,Closed,01-05-2024,5063,59,Male,Salaried
8944994009,Sara Iyer,EntryPage_PL_Journey,Field,Top-up,LAN20193354268,13228000,0.0751,41,0,Home loan,2022-08,2022-09,5.9,550000,208827,Closed,01-09-2019,366798,56,Female,Salaried
8944994009,Sara Iyer,sms_campaign_reengage,Field,Balance Transfer,LAN20196198917,427000,0.1714,18,0,Consumer durable,,,5.9,550000,208827,Closed,01-02-2019,27070,56,Female,Salaried
8944994009,Sara Iyer,referral - branch walkin,App,New,LAN20258913603,66000,0.1596,7,0,Consumer durable,,,5.9,550000,208827,Closed,01-06-2025,9937,56,Female,Salaried
8944994009,Sara Iyer,SMS blast - existing customer,Call center,New,LAN20193425170,118000,0.1319,8,0,Consumer durable,,,5.9,550000,208827,Closed,01-11-2019,15489,56,Female,Salaried
9458051307,Pooja Gupta,store_footfall_branch,Field,New,LAN20223559802,15420000,0.0884,46,0,Home loan,,,9.1,1592000,751006,Closed,01-10-2022,396438,30,Female,Salaried
7979335622,Deepak Banerjee,utm_source=google&utm_medium=cpc&utm_campaign=pl_generic,Call center,New,LAN20205786664,483000,0.1452,10,0,Consumer durable,,,9.3,894000,452831,Closed,01-04-2020,51572,33,Male,Self-employed
6808940032,Pooja Singh,Branch Referral,App,Top-up,LAN20195067642,273000,0.1337,5,0,Consumer durable,,,9.1,1771000,751733,Closed,01-11-2019,56438,24,Male,Self-employed
7821913662,Anika Das,Website billion day,App,New,LAN20198053060,421000,0.1459,21,0,Consumer durable,,,7,959000,835209,Closed,01-10-2019,22837,22,Female,Salaried
9896555047,Deepak Reddy,TwoWheeler Suzuki tie-up,Website,Top-up,LAN20266433848,24799000,0.0743,42,22704373,Home loan,,,7.1,1216000,226749,Active,01-04-2026,672366,32,Male,Self-employed
8059745211,Vikram Kapoor,vijay sales - cross-sell,Field,New,LAN20203550511,398000,0.1689,4,0,Consumer durable,,,8,1687000,395359,Closed,01-09-2020,103026,38,Female,Self-employed
7005727547,Zara Singh,vijay sales - cross-sell,App,Top-up,LAN20227593535,383000,0.1565,15,0,Consumer durable,,,8.9,899000,226331,Closed,01-01-2022,28278,41,Male,Salaried
7999040876,Saanvi Sheikh,TwoWheeler Suzuki tie-up,Field,Top-up,LAN20210889106,3338000,0.1691,47,0,Personal loan,,,6.1,1498000,380268,Closed,01-10-2021,97599,32,Male,Self-employed
8916818133,Ahmed Reddy,Website-StickyCTA,App,New,LAN20183067099,23133000,0.1208,32,0,Loan against securities,,,8.1,1582000,751602,Closed,01-07-2018,849184,30,Female,Salaried
7791245697,Rohan Patel,2W_Suzuki_dealer,Call center,Top-up,LAN20196539052,169000,0.1546,13,0,Consumer durable,,,7,1577000,835259,Closed,01-03-2019,14202,40,Female,Salaried
8323323385,Manoj Singh,Twowheeler_Suzuki,Website,Top-up,LAN20245853658,19459000,0.0801,58,11327603,Home loan,,,8.9,701000,141253,Active,01-05-2024,405729,51,Female,Salaried
7741432540,Vikram Chatterjee,Website - Billion Days,Field,New,LAN20225614434,109000,0.1403,11,0,Consumer durable,,,9.4,1003000,570259,Closed,01-04-2022,10618,34,Male,Self-employed
